"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","id_rodada","id_opp","opp_formacao","opp_gp","opp_gc","opp_posse","opp_totalchutes","opp_%chgol","opp_g_ch","opp_cagc","opp_%defesas","opp_cleansheets","opp_dif_faltas","opp_impedimentos","opp_cruzamentos","opp_cortes","opp_roubadas","opp_pts","opp_saldo_gols","opp_cardscore","opp_%gols_pen","%opp_gols_contra"
"259","Ceará","2020",20,"dom","Em casa","Sport Recife","4-2-3-1","E",9,7,40.1428571428571,15.2857142857143,0.321791933556639,0.0964604023427553,3.42857142857143,0.773809523809524,2,4.28571428571429,1.85714285714286,16.8571428571429,16.4285714285714,11,11,2,4.71428571428571,0.0714285714285714,0,"Ceará_2020_20","Sport Recife_2020_20","5--4-1",5,12,44.4285714285714,9.42857142857143,0.276756157008258,0.05200261922951,5.71428571428571,0.706349206349206,3,-1.71428571428571,0.857142857142857,15.4285714285714,14.8571428571429,9.14285714285714,5,-7,3,0,0.0285714285714286
"260","Ceará","2020",22,"dom","Em casa","Atlético Mineiro","4--4-2","E",11,12,41.2857142857143,14.4285714285714,0.343636755401461,0.129360835243188,4.28571428571429,0.692176870748299,1,5.42857142857143,1.57142857142857,16.5714285714286,16.1428571428571,11.2857142857143,8,-1,4,0,0,"Ceará_2020_22","Atlético Mineiro_2020_22","4-1-4-1",10,10,60.1428571428571,16.7142857142857,0.329561311704169,0.112785627071341,4.14285714285714,0.48452380952381,2,-0.428571428571429,1,27.7142857142857,11.2857142857143,9.57142857142857,9,0,3.14285714285714,0.0714285714285714,0
"261","Ceará","2020",25,"sáb","Em casa","Atl Goianiense","4--4-2","D",13,11,42.5714285714286,12.8571428571429,0.402422577422577,0.172302697302697,4,0.770748299319728,2,4.28571428571429,1.85714285714286,15.2857142857143,12.4285714285714,11.2857142857143,9,2,2.85714285714286,0.0357142857142857,0,"Ceará_2020_25","Atl Goianiense_2020_25","4-2-3-1",5,5,50.7142857142857,12,0.334353741496599,0.0595238095238095,2.57142857142857,0.75,2,-0.142857142857143,2.42857142857143,26,11.1428571428571,9.42857142857143,9,0,2.42857142857143,0.0714285714285714,0
"262","Ceará","2020",28,"qui","Em casa","Internacional","4-2-3-1","D",12,8,43.1428571428571,11.2857142857143,0.489460101302207,0.178363303363303,3.14285714285714,0.609523809523809,2,4.71428571428571,1.42857142857143,13.4285714285714,11.5714285714286,13.1428571428571,11,4,2.42857142857143,0.0357142857142857,0,"Ceará_2020_28","Internacional_2020_28","4-2-3-1",11,6,46.2857142857143,12.4285714285714,0.383661926308985,0.141941391941392,2.14285714285714,0.357142857142857,4,-2,1.85714285714286,18.8571428571429,14.7142857142857,8.28571428571429,14,5,4.28571428571429,0.0714285714285714,0.0714285714285714
"263","Ceará","2020",30,"dom","Em casa","Bragantino","4-2-3-1","D",9,7,40.8571428571429,11,0.465650577492683,0.148060273060273,3.71428571428571,0.657142857142857,3,3.71428571428571,0.857142857142857,12.7142857142857,11.8571428571429,13.7142857142857,10,2,2,0.142857142857143,0,"Ceará_2020_30","Bragantino_2020_30","4--3-3",10,8,56.1428571428571,18.4285714285714,0.332066897905407,0.0902745287838456,3,0.628571428571429,1,2.85714285714286,1,28,12.7142857142857,9.28571428571429,11,2,2.28571428571429,0.142857142857143,0
"264","Ceará","2020",32,"dom","Em casa","Palmeiras","4-2-3-1","V",12,6,40.2857142857143,11,0.430394167236273,0.187590187590188,3.57142857142857,0.65,3,1.71428571428571,0.714285714285714,12.4285714285714,9.71428571428571,12.2857142857143,13,6,3,0.25,0,"Ceará_2020_32","Palmeiras_2020_32","4-2-3-1",8,7,50.2857142857143,11.4285714285714,0.248809523809524,0.0946428571428572,4.42857142857143,0.795918367346939,3,4.85714285714286,2.85714285714286,20.1428571428571,10.8571428571429,8.85714285714286,10,1,2.85714285714286,0,0.0714285714285714
"265","Ceará","2020",33,"dom","Em casa","Atl Paranaense","4-2-3-1","D",10,8,41,11.4285714285714,0.343092579934685,0.13997113997114,3.85714285714286,0.65,2,1.28571428571429,0.857142857142857,13,10,12.4285714285714,10,2,2.85714285714286,0.25,0,"Ceará_2020_33","Atl Paranaense_2020_33","4--4-2",10,3,50.1428571428571,9.85714285714286,0.397727272727273,0.132305194805195,3.57142857142857,0.792857142857143,4,2.85714285714286,1.57142857142857,14.2857142857143,11.4285714285714,8.85714285714286,14,7,1.28571428571429,0,0
"266","Ceará","2020",36,"seg","Em casa","Fluminense","4-2-3-1","D",10,11,46,10.1428571428571,0.283119658119658,0.137973137973138,4.71428571428571,0.626984126984127,1,0.285714285714286,1.28571428571429,14.2857142857143,11.2857142857143,9.28571428571429,7,-1,2.14285714285714,0.392857142857143,0,"Ceará_2020_36","Fluminense_2020_36","4-2-3-1",13,4,48.1428571428571,13.1428571428571,0.330928548575607,0.14204325086678,2.14285714285714,0.464285714285714,5,-3.71428571428571,1.28571428571429,19,15.5714285714286,11,17,9,2.14285714285714,0.0714285714285714,0
"267","Ceará","2020",38,"qui","Em casa","Botafogo (RJ)","4-2-3-1","V",9,10,46.5714285714286,10,0.311258186258186,0.128232878232878,4.57142857142857,0.674603174603175,1,0.714285714285714,1.28571428571429,15,11.8571428571429,8.14285714285714,10,-1,3.28571428571429,0.214285714285714,0,"Ceará_2020_38","Botafogo (RJ)_2020_38","4-2-3-1",5,13,51,16.1428571428571,0.255245868682401,0.0401985355545727,3.71428571428571,0.566326530612245,1,-1.71428571428571,1.57142857142857,18.7142857142857,11,9.14285714285714,4,-8,2,0.142857142857143,0
"268","Ceará","2021",7,"dom","Em casa","São Paulo","4-2-3-1","E",9,10,44.4285714285714,13.1428571428571,0.38718820861678,0.107426303854875,3.28571428571429,0.676190476190476,1,3.28571428571429,1.28571428571429,17,10.5714285714286,7.71428571428571,9,-1,2.71428571428571,0.142857142857143,0.142857142857143,"Ceará_2021_7","São Paulo_2021_7","3-1-4-2",4,9,61.5714285714286,10.1428571428571,0.240253793825222,0.0443223443223443,3.71428571428571,0.660544217687075,1,0.142857142857143,2.42857142857143,29.4285714285714,9.71428571428571,7.28571428571429,4,-5,3.71428571428571,0,0
"269","Ceará","2021",9,"dom","Em casa","Juventude","4-2-3-1","V",7,5,47.4285714285714,13.5714285714286,0.351473922902494,0.0717120181405896,2.85714285714286,0.857142857142857,3,5,0.857142857142857,16.1428571428571,10.2857142857143,7,10,2,3.71428571428571,0,0.142857142857143,"Ceará_2021_9","Juventude_2021_9","4-2-3-1",5,6,38,7.42857142857143,0.394480519480519,0.0795454545454546,3,0.871428571428571,4,0.428571428571429,1.42857142857143,11.7142857142857,11,7.14285714285714,11,-1,3.14285714285714,0.142857142857143,0.0476190476190476
"270","Ceará","2021",12,"sáb","Em casa","Atl Paranaense","4-2-3-1","V",8,4,45.4285714285714,14.7142857142857,0.352154195011338,0.0706916099773243,3.28571428571429,0.833333333333333,4,3.14285714285714,1.28571428571429,13,8.71428571428571,6.14285714285714,13,4,3.85714285714286,0,0.142857142857143,"Ceará_2021_12","Atl Paranaense_2021_12","4-2-3-1",12,11,46.2857142857143,13.7142857142857,0.32034632034632,0.127525252525253,5.28571428571429,0.69172335600907,0,0.142857142857143,1,14.5714285714286,10.5714285714286,5.71428571428571,8,1,3.14285714285714,0.0357142857142857,0.0714285714285714
"271","Ceará","2021",14,"dom","Em casa","Fortaleza","4--3-3","V",8,3,49,13.5714285714286,0.272789115646258,0.0806122448979592,3.14285714285714,0.744047619047619,5,2.28571428571429,1.42857142857143,14.7142857142857,8.57142857142857,7.28571428571429,13,5,3.28571428571429,0,0,"Ceará_2021_14","Fortaleza_2021_14","3-4-1-2",12,7,49.8571428571429,17.1428571428571,0.328512162440734,0.104826324469182,3.85714285714286,0.821428571428571,5,0.142857142857143,1.14285714285714,16,12.2857142857143,8.71428571428571,15,5,3.85714285714286,0,0
"272","Ceará","2021",15,"dom","Em casa","Atl Goianiense","4-2-3-1","E",8,3,49.7142857142857,15,0.255245255997136,0.0806122448979592,3.14285714285714,0.744047619047619,5,2.14285714285714,1.28571428571429,15.4285714285714,10,7.71428571428571,13,5,2.28571428571429,0,0,"Ceará_2021_15","Atl Goianiense_2021_15","4-2-3-1",5,6,48.2857142857143,9,0.322249179392037,0.0839481946624804,4,0.870238095238095,3,-0.142857142857143,1.57142857142857,10.1428571428571,9.85714285714286,7.57142857142857,10,-1,2.28571428571429,0.142857142857143,0.0476190476190476
"273","Ceará","2021",17,"dom","Em casa","Flamengo","4-2-3-1","E",8,7,46.2857142857143,16.1428571428571,0.271571786609381,0.0782312925170068,3.14285714285714,0.572619047619048,3,2.71428571428571,1.42857142857143,17.1428571428571,11.2857142857143,10.4285714285714,10,1,1.71428571428571,0,0,"Ceará_2021_17","Flamengo_2021_17","4-2-3-1",18,8,64,16.5714285714286,0.494970715558951,0.165091036414566,4.14285714285714,0.702380952380952,2,1.14285714285714,1.14285714285714,16.4285714285714,10.5714285714286,11,16,10,3.14285714285714,0.0285714285714286,0
"274","Ceará","2021",19,"qua","Em casa","Palmeiras","4-2-3-1","D",6,9,45.8571428571429,13.1428571428571,0.293000358037952,0.0673469387755102,3.57142857142857,0.539285714285714,2,3.28571428571429,1.14285714285714,17.8571428571429,13.1428571428571,11.2857142857143,6,-3,1.71428571428571,0,0,"Ceará_2021_19","Palmeiras_2021_19","4-2-3-1",7,9,51.5714285714286,13.8571428571429,0.351220649550143,0.0702380952380952,4.28571428571429,0.745238095238095,2,-0.714285714285714,2.28571428571429,23,12.2857142857143,10.5714285714286,10,-2,4,0,0
"275","Ceará","2021",21,"sáb","Em casa","Santos","4-2-3-1","E",3,10,48,12,0.320381310418904,0.0316326530612245,3,0.604761904761905,2,1.71428571428571,0.714285714285714,18.8571428571429,13.2857142857143,12.4285714285714,3,-7,1.71428571428571,0,0,"Ceará_2021_21","Santos_2021_21","3--4-3",4,9,55.7142857142857,10.7142857142857,0.258142650999794,0.0543650793650794,4.42857142857143,0.685714285714286,3,1,1.42857142857143,22,10.7142857142857,6,5,-5,1.57142857142857,0,0
"276","Ceará","2021",22,"sáb","Em casa","Chapecoense","4-2-3-1","V",4,10,50.4285714285714,12.7142857142857,0.337925170068027,0.0375850340136054,2.71428571428571,0.461904761904762,2,-0.571428571428571,0.714285714285714,19.4285714285714,11.1428571428571,12.2857142857143,5,-6,1.42857142857143,0.142857142857143,0,"Ceará_2021_22","Chapecoense_2021_22","4-1-4-1",5,8,44.4285714285714,12.8571428571429,0.248556998556999,0.0581168831168831,4.85714285714286,0.792517006802721,1,5.28571428571429,1.42857142857143,20.7142857142857,11.5714285714286,7.85714285714286,6,-3,3.57142857142857,0.142857142857143,0
"277","Ceará","2021",24,"qua","Em casa","Internacional","4-2-3-1","E",3,7,53.1428571428571,12.4285714285714,0.329393424036281,0.0320294784580499,2.71428571428571,0.612925170068027,3,-2,1,20.8571428571429,9.14285714285714,10.7142857142857,6,-4,3.14285714285714,0.142857142857143,0,"Ceará_2021_24","Internacional_2021_24","4-2-3-1",5,2,50.1428571428571,10.2857142857143,0.410791589363018,0.0606060606060606,3.57142857142857,0.928571428571429,5,1,1,16.5714285714286,12.1428571428571,9.28571428571429,12,3,3,0,0
"278","Ceará","2021",27,"dom","Em casa","Bragantino","4-2-3-1","E",6,7,49.2857142857143,15,0.417065844783236,0.0591395319656189,3.71428571428571,0.676020408163265,3,-1.42857142857143,1.14285714285714,22,8.71428571428571,10,8,-1,3.42857142857143,0.142857142857143,0,"Ceará_2021_27","Bragantino_2021_27","4-2-3-1",12,10,45.8571428571429,13.1428571428571,0.376329184599861,0.135612257416769,5.14285714285714,0.756009070294785,1,1.28571428571429,0.285714285714286,18.5714285714286,11.5714285714286,7.71428571428571,10,2,3.42857142857143,0,0.0714285714285714
"279","Ceará","2021",29,"dom","Em casa","Fluminense","4-2-3-1","V",6,7,43,14,0.42884529340479,0.0710442938703808,4.71428571428571,0.723639455782313,2,0.428571428571429,1,20.7142857142857,9.85714285714286,10.4285714285714,8,-1,4,0,0,"Ceará_2021_29","Fluminense_2021_29","4-2-3-1",4,7,50.8571428571429,11.7142857142857,0.275877134070411,0.0627705627705628,4.85714285714286,0.621428571428571,2,-0.571428571428571,1.42857142857143,16.1428571428571,9.14285714285714,13,7,-3,2,0,0
"280","Ceará","2021",30,"dom","Em casa","Cuiabá","4-2-3-1","V",6,6,43.5714285714286,14.4285714285714,0.412972277531774,0.0670760399021269,4.42857142857143,0.744047619047619,2,1,0.857142857142857,20.4285714285714,9.85714285714286,11,10,0,3,0.142857142857143,0,"Ceará_2021_30","Cuiabá_2021_30","4--4-2",5,5,44.7142857142857,10.2857142857143,0.289795918367347,0.0936224489795918,5,0.927437641723356,4,-0.714285714285714,1.57142857142857,14.7142857142857,11.2857142857143,8.85714285714286,9,0,1.71428571428571,0.142857142857143,0
"281","Ceará","2021",32,"dom","Em casa","Sport Recife","4-2-3-1","V",8,6,42.4285714285714,13.5714285714286,0.398632450691947,0.0977398205659075,4.85714285714286,0.755952380952381,2,-0.714285714285714,0.857142857142857,17.4285714285714,9.14285714285714,10.5714285714286,12,2,3.14285714285714,0.357142857142857,0,"Ceará_2021_32","Sport Recife_2021_32","4-1-4-1",6,9,45.5714285714286,11.7142857142857,0.264845555447059,0.0858737753474596,4.28571428571429,0.785714285714286,3,0,1.71428571428571,23.5714285714286,14.8571428571429,7.71428571428571,4,-3,2.42857142857143,0,0.142857142857143
"282","Ceará","2021",35,"qui","Em casa","Corinthians","4-2-3-1","V",12,5,40.1428571428571,9.42857142857143,0.299603174603175,0.19047619047619,4.85714285714286,0.734126984126984,2,-0.571428571428571,1.28571428571429,11.1428571428571,12,9.57142857142857,16,7,2.14285714285714,0.357142857142857,0,"Ceará_2021_35","Corinthians_2021_35","4-2-3-1",8,8,59.1428571428571,16.2857142857143,0.419424435213909,0.0738191632928475,4.28571428571429,0.659183673469388,2,2.85714285714286,1.42857142857143,20.8571428571429,12.5714285714286,9.14285714285714,12,0,1.57142857142857,0.0714285714285714,0
"283","Ceará","2021",37,"dom","Em casa","América (MG)","4-2-3-1","E",11,7,43.5714285714286,10,0.287448662448662,0.171703296703297,4.71428571428571,0.626984126984127,2,0.142857142857143,1.28571428571429,14.5714285714286,12,8.71428571428571,11,4,2,0.357142857142857,0,"Ceará_2021_37","América (MG)_2021_37","4-2-3-1",10,6,51.2857142857143,16,0.289498631113538,0.0959490819739267,3.14285714285714,0.95952380952381,3,-1.57142857142857,0.857142857142857,16.8571428571429,11.1428571428571,9.14285714285714,12,4,2.14285714285714,0.0952380952380952,0
"284","Chapecoense","2019",7,"dom","Em casa","Palmeiras","4-2-3-1","D",8,10,47,15,0.339797410192147,0.0839076858813701,5.28571428571429,0.731632653061225,1,-1.42857142857143,0.571428571428571,20.4285714285714,10,11.2857142857143,7,-2,1.71428571428571,0.214285714285714,0,"Chapecoense_2019_7","Palmeiras_2019_7","4-2-3-1",15,2,58,11.7142857142857,0.557346015329209,0.390874298437324,2.42857142857143,0.714285714285714,5,1.57142857142857,1.42857142857143,10.7142857142857,7,10.7142857142857,19,13,1.85714285714286,0.142857142857143,0
